"name" "nstrains" "div"
"1" "Mix1" "5" "6.76069"
"2" "Mix2" "5" "4.44371"
"3" "Mix3" "5" "6.46805"
"4" "Mix4" "5" "5.05829"
"5" "Mix5" "5" "5.55825"
"6" "Mix6" "5" "5.37608"
"7" "Mix7" "5" "6.4585"
"8" "Mix8" "5" "5.11717"
"9" "Mix9" "5" "5.56811"
"10" "Mix10" "5" "6.70718"
"11" "Mix11" "5" "6.90925"
"12" "Mix12" "5" "6.09828"
"13" "Mix13" "5" "5.60291"
"14" "Mix14" "5" "6.04763"
"15" "Mix15" "5" "6.06349"
"16" "Mix16" "5" "5.96132"
"17" "Mix17" "5" "5.79677"
"18" "Mix18" "5" "7.0288"
"19" "Mix19" "5" "5.48171"
"20" "Mix20" "5" "6.58364"
"21" "Mix21" "5" "5.41204"
"22" "Mix22" "5" "5.4822"
"23" "Mix23" "5" "6.0104"
"24" "Mix24" "5" "4.41174"
"25" "Mix25" "5" "5.49209"
"26" "Mix26" "5" "7.05136"
"27" "Mix27" "5" "6.69183"
"28" "Mix28" "5" "6.17156"
"29" "Mix29" "5" "5.24558"
"30" "Mix30" "5" "7.26814"
"31" "Mix31" "5" "5.4934"
"32" "Mix32" "5" "5.8768"
"33" "Mix33" "5" "4.00636"
"34" "Mix34" "5" "6.2713"
"35" "Mix35" "5" "6.70018"
"36" "Mix36" "5" "6.17886"
"37" "Mix37" "5" "6.44111"
"38" "Mix38" "5" "6.47257"
"39" "Mix39" "5" "6.2335"
"40" "Mix40" "5" "4.64065"
"41" "Mix41" "5" "5.86864"
"42" "Mix42" "5" "7.24548"
"43" "Mix43" "5" "4.93081"
"44" "Mix44" "5" "6.22506"
"45" "Mix45" "5" "5.87756"
"46" "Mix46" "5" "6.94104"
"47" "Mix47" "5" "6.11458"
"48" "Mix48" "5" "6.99548"
"49" "Mix49" "5" "6.32664"
"50" "Mix50" "5" "5.89402"
"51" "Mix51" "5" "5.79706"
"52" "Mix52" "5" "6.01426"
"53" "Mix53" "5" "7.26323"
"54" "Mix54" "5" "4.19852"
"55" "Mix55" "5" "5.44175"
"56" "Mix56" "5" "2.47813"
"57" "Mix57" "5" "5.12646"
"58" "Mix58" "5" "6.64972"
"59" "Mix59" "5" "5.26103"
"60" "Mix60" "5" "5.44007"
"61" "Mix61" "5" "5.96504"
"62" "Mix62" "5" "7.04292"
"63" "Mix63" "5" "6.83078"
"64" "Mix64" "5" "4.91773"
"65" "Mix65" "5" "5.29568"
"66" "Mix66" "5" "5.82095"
"67" "Mix67" "5" "5.15011"
"68" "Mix68" "5" "7.35706"
"69" "Mix69" "5" "6.12633"
"70" "Mix70" "5" "4.71767"
"71" "Mix71" "35" "19.3365"
"72" "Mix72" "5" "6.15181"
"73" "Mix73" "5" "6.66892"
"74" "Mix74" "5" "6.45208"
"75" "Mix75" "5" "7.04142"
"76" "Mix76" "5" "5.83105"
"77" "Mix77" "5" "4.74415"
"78" "Mix78" "5" "5.60756"
"79" "Mix79" "5" "5.97644"
"80" "Mix80" "5" "6.67381"
"81" "Mix81" "5" "5.67794"
"82" "Mix82" "5" "6.79801"
"83" "Mix83" "5" "5.13854"
"84" "Mix84" "5" "6.15815"
"85" "Mix85" "5" "5.89367"
"86" "Mix86" "5" "4.63724"
"87" "Mix87" "5" "6.83763"
"88" "Mix88" "5" "6.29606"
"89" "Mix89" "5" "6.93515"
"90" "Mix90" "5" "5.39517"
"91" "Mix91" "5" "5.87096"
"92" "Mix92" "5" "6.79601"
"93" "Mix93" "5" "5.99037"
"94" "Mix94" "5" "5.87514"
"95" "Mix95" "5" "6.17998"
"96" "Mix96" "5" "5.47718"
"97" "Mix97" "5" "5.46231"
"98" "Mix98" "5" "5.05083"
"99" "Mix99" "5" "6.50315"
"100" "Mix100" "5" "5.93338"
"101" "Mix101" "5" "6.47623"
"102" "Mix102" "5" "5.98457"
"103" "Mix103" "5" "5.90778"
"104" "Mix104" "5" "6.90343"
"105" "Mix105" "5" "7.06661"
"106" "Mix106" "5" "5.9103"
"107" "Mix107" "5" "5.52307"
"108" "Mix108" "5" "7.10593"
"109" "Mix109" "5" "7.03149"
"110" "Mix110" "5" "5.51858"
"111" "Mix111" "5" "5.94554"
"112" "Mix112" "5" "6.1007"
"113" "Mix113" "5" "7.19597"
"114" "Mix114" "5" "6.10877"
"115" "Mix115" "5" "5.21023"
"116" "Mix116" "5" "5.19578"
"117" "Mix117" "5" "7.26371"
"118" "Mix118" "5" "4.77317"
"119" "Mix119" "5" "5.4114"
"120" "Mix120" "5" "5.52511"
"121" "Mix121" "5" "5.21973"
"122" "Mix122" "5" "7.12972"
"123" "Mix123" "5" "5.94857"
"124" "Mix124" "5" "6.76683"
"125" "Mix125" "5" "5.98863"
"126" "Mix126" "5" "7.2142"
"127" "Mix127" "5" "2.60397"
"128" "Mix128" "5" "2.70552"
"129" "Mix129" "5" "4.55591"
"130" "Mix130" "5" "6.69319"
"131" "Mix131" "5" "5.67911"
"132" "Mix132" "5" "5.17359"
"133" "Mix133" "5" "6.21795"
"134" "Mix134" "5" "5.17318"
"135" "Mix135" "5" "3.79149"
"136" "Mix136" "5" "6.40585"
"137" "Mix137" "5" "5.81216"
"138" "Mix138" "5" "6.18141"
"139" "Mix139" "5" "6.4967"
"140" "Mix140" "5" "6.19993"
"141" "Mix141" "5" "5.67494"
"142" "Mix142" "5" "5.17121"
"143" "Mix143" "5" "5.66648"
"144" "Mix144" "5" "6.54643"
"145" "Mix145" "5" "5.98454"
"146" "Mix146" "5" "5.93458"
"147" "Mix147" "5" "6.31348"
"148" "Mix148" "5" "5.81921"
"149" "Mix149" "5" "5.91693"
"150" "Mix150" "5" "5.68125"
"151" "Mix151" "5" "4.82505"
"152" "Mix152" "5" "6.54346"
"153" "Mix153" "5" "7.28889"
"154" "Mix154" "5" "5.042"
"155" "Mix155" "5" "5.86301"
"156" "Mix156" "5" "4.56151"
"157" "Mix157" "5" "4.50516"
"158" "Mix158" "5" "6.18862"
"159" "Mix159" "5" "5.38937"
"160" "Mix160" "5" "6.36194"
"161" "Mix161" "5" "4.42121"
"162" "Mix162" "5" "6.4446"
"163" "Mix163" "5" "6.15113"
"164" "Mix164" "5" "5.51226"
"165" "Mix165" "5" "6.53863"
"166" "Mix166" "5" "4.96734"
"167" "Mix167" "5" "6.85219"
"168" "Mix168" "5" "5.61962"
"169" "Mix169" "5" "6.17803"
"170" "Mix170" "5" "6.99491"
"171" "Mix171" "5" "6.08136"
"172" "Mix172" "5" "7.19027"
"173" "Mix173" "5" "5.45104"
"174" "Mix174" "5" "6.13651"
"175" "Mix175" "5" "5.85734"
"176" "Mix176" "5" "6.5349"
"177" "Mix177" "5" "4.70893"
"178" "Mix178" "5" "7.5138"
"179" "Mix179" "5" "5.09876"
"180" "Mix180" "5" "5.60307"
"181" "Mix181" "5" "6.1723"
"182" "Mix182" "5" "5.61914"
"183" "Mix183" "5" "6.02679"
"184" "Mix184" "5" "5.80097"
"185" "Mix185" "5" "5.21457"
